,Movie Name,Review Star Avg
207,파이란,평균 ★3.7 (11만명)
208,노팅 힐,평균 ★4.0 (56만명)
209,너는 내 운명,평균 ★3.7 (27만명)
210,이프 온리,평균 ★4.0 (65만명)
211,노트북,평균 ★4.0 (43만명)
212,꽃다발 같은 사랑을 했다,"평균 ★3.9 (9,751명)"
213,당신이 잠든 사이에,평균 ★4.1 (18만명)
214,더티 댄싱,평균 ★3.7 (4만명)
215,동감,평균 ★3.6 (14만명)
216,성원,"평균 ★3.4 (5,797명)"
217,블루 라군,"평균 ★2.8 (4,513명)"
218,청설,평균 ★3.8 (16만명)
219,"그 시절, 우리가 좋아했던 소녀",평균 ★4.0 (88만명)
220,보디가드,평균 ★3.0 (2만명)
221,연애소설,평균 ★3.4 (16만명)
222,마법에 걸린 사랑,평균 ★3.4 (14만명)
223,내 이야기!!,평균 ★3.6 (3만명)
224,번지 점프를 하다,평균 ★3.7 (20만명)
225,선물,"평균 ★3.1 (6,359명)"
226,오버 더 레인보우,평균 ★3.1 (1만명)
227,윤희에게,평균 ★3.9 (20만명)
228,"나는 내일, 어제의 너와 만난다",평균 ★4.0 (30만명)
229,러브 액츄얼리,평균 ★4.0 (74만명)
230,"다만, 널 사랑하고 있어",평균 ★3.6 (27만명)
231,에버 애프터,평균 ★3.3 (2만명)
232,미드나잇 선,평균 ★3.9 (13만명)
233,...ing,평균 ★3.0 (8만명)
234,비포 선라이즈,평균 ★4.1 (36만명)
235,내 머리 속의 지우개,평균 ★3.7 (59만명)
236,그 여자 작사 그 남자 작곡,평균 ★3.8 (45만명)
237,나의 소녀시대,평균 ★4.0 (66만명)
238,블랙북,평균 ★3.6 (2만명)
239,나이브스 아웃,평균 ★4.0 (33만명)
240,원초적 본능,"평균 ★2.5 (4,770명)"
241,바닐라 스카이,평균 ★3.7 (19만명)
242,데블스 에드버킷,평균 ★3.6 (4만명)
243,백설공주 살인사건,평균 ★3.5 (2만명)
244,중독노래방,"평균 ★3.2 (5,319명)"
245,디 아더스,평균 ★3.6 (20만명)
246,폰 부스,평균 ★3.8 (30만명)
247,무명인,"평균 ★3.0 (2,925명)"
248,미씽: 사라진 여자,평균 ★3.5 (29만명)
249,그랜드 부다페스트 호텔,평균 ★4.0 (51만명)
250,리스본행 야간열차,평균 ★3.7 (5만명)
251,검은 사제들,평균 ★3.7 (117만명)
252,겟 아웃,평균 ★3.8 (27만명)
253,컨테이젼,평균 ★3.5 (11만명)
254,데스 노트 - 라스트 네임,평균 ★2.9 (1만명)
