id,Movie Name,Naver Star,Director
436,아이스케키,7.88,여인광
437,G-포스: 기니피그 특공대,7.86,호잇 이트맨
438,휴고,7.77,마틴 스콜세지
439,용길이네 곱창집,7.68,정의신
440,비밀의 숲 테라비시아,7.61,가버 추보
441,프린세스 다이어리 2,7.27,게리 마샬
442,빨간 모자의 진실,7.18,코리 에드워즈
443,방울토마토,7.07,정영배
444,깡철이,6.95,안권태
445,썬키스 패밀리,5.86,김지혜
446,마고리엄의 장난감 백화점,5.24,자크 헬름
447,어부바,4.78,최종학
448,콩가네,2.29,남기웅
449,나이브스 아웃,9.11,라이언 존슨
450,원초적 본능,8.94,폴 버호벤
451,바닐라 스카이,8.86,카메론 크로우
452,데블스 에드버킷,8.86,테일러 핵포드
453,백설공주 살인사건,8.54,나카무라 요시히로
454,중독노래방,8.53,김상찬
455,디 아더스,8.51,알레한드로 아메나바르
456,폰 부스,8.45,조엘 슈마허
457,무명인,8.41,김성수
458,미씽: 사라진 여자,8.39,이언희
459,그랜드 부다페스트 호텔,8.38,웨스 앤더슨
460,리스본행 야간열차,8.32,빌 어거스트
461,검은 사제들,8.32,장재현
462,겟 아웃,8.3,조던 필
463,컨테이젼,8.28,스티븐 소더버그
464,데스 노트 - 라스트 네임,8.27,카네코 슈스케
465,마녀,8.22,박훈정
466,런,8.22,아니쉬 차간티
467,해피 데스데이,8.19,크리스토퍼 랜던
468,기억의 밤,8.19,장항준
469,리미트리스,8.17,닐 버거
470,천사와 악마,8.16,론 하워드
471,화차,8.07,변영주
472,웃는 남자,8.06,장 피에르 아메리스
473,백야행 - 하얀 어둠 속을 걷다,7.93,박신우
474,줄리아의 눈,7.91,기옘 모랄레스
475,적인걸2: 신도해왕의 비밀,7.9,서극
476,오드 토머스,7.84,스티븐 소머즈
477,인페르노,7.77,론 하워드
478,조용한 세상,7.76,조의석
479,이레셔널 맨,7.76,우디 앨런
480,프랙처드,7.73,브래드 앤더슨
481,더 기프트,7.66,조엘 에저튼
482,용의자X,7.66,방은진
483,곡성(哭聲),7.63,나홍진
484,더 룸,7.62,크리스티안 볼크만
485,내일의 기억,7.61,서유민
486,베스트셀러,7.59,이정호
487,스마일,7.59,파커 핀
488,시간위의 집,7.58,임대웅
489,콜,7.54,이충현
490,클로버필드 10번지,7.54,댄 트라첸버그
491,시크릿 인 데어 아이즈,7.53,빌리 레이
492,그때 그사람들,7.44,임상수
493,된장,7.41,이서군
494,다빈치 코드,7.41,론 하워드
495,오큘러스,7.4,마이크 플래너건
496,소녀,7.36,최진성
497,방법: 재차의,7.36,김용완
498,사바하,7.35,장재현
499,라이언 일병 구하기,9.43,스티븐 스필버그
500,12번째 솔저,9.24,해럴드 즈워트
501,태극기 휘날리며,9.22,강제규
502,플래툰,9.17,올리버 스톤
503,블랙 호크 다운,9.12,리들리 스콧
504,7월 4일생,9.05,올리버 스톤
505,메리 크리스마스,9.05,크리스티앙 카리옹
506,에너미 앳 더 게이트,9.03,장 자크 아노
507,진링의 13소녀,8.97,장이머우
508,라스트 모히칸,8.95,마이클 만
509,디어 헌터,8.91,마이클 치미노
510,아웃포스트,8.86,로드 루리
511,고지전,8.69,장훈
512,진주만,8.6,마이클 베이
513,보리밭을 흔드는 바람,8.5,켄 로치
514,스탈린그라드: 최후의 전투,8.48,조셉 빌스마이어
515,허트 로커,8.43,캐서린 비글로우
516,태양의 제국,8.39,스티븐 스필버그
517,실미도,8.38,강우석
518,워 호스,8.38,스티븐 스필버그
519,위 워 솔저스,8.31,랜들 월리스
520,에너미 라인스,8.3,존 무어
521,브라더스,8.27,짐 쉐리단
