,Movie Name,Eng Name,Country,Time Line,Opening Date,Naver Star,Director,R rated,Actors
46,내 이름은 칸,My Name Is Khan,인도,127분,2011.03.24 개봉,9.29,카란 조하르,12세 관람가,"샤룩 칸, 까졸, 쉐인 하퍼, 크리스토퍼 B. 던칸, 하모니 블로썸, nan, nan, nan, nan"
47,"나, 다니엘 블레이크",Daniel Blake,"영국, 프랑스, 벨기에",100분,2016.12.08 개봉,9.29,켄 로치,12세 관람가,"데이브 존스, 헤일리 스콰이어, 샤론 퍼시, 브리아나 샨, 딜런 맥키어넌, nan, nan, nan, nan"
48,천국의 아이들,The Children Of Heaven,이란,87분,"2017.02.09 재개봉,  2001.03.17 개봉",9.28,마지드 마지디,전체 관람가,"레자 나지, 아미르 파로크 하스미얀, 바하레 세디키, None, None, nan, nan, nan, nan"
49,공동경비구역 JSA,Joint Security Area,대한민국,110분,"2015.10.15 재개봉,  2000.09.09 개봉",9.28,박찬욱,15세 관람가,"이영애, 이병헌, 송강호, 김태우, 신하균, nan, nan, nan, nan"
50,반지의 제왕: 왕의 귀환,The Lord Of The Rings The Return Of The King,"뉴질랜드, 미국",263분,"2021.03.18 재개봉, 2017.01.25 재개봉,  2003.12.17 개봉",9.38,피터 잭슨,12세 관람가,"일라이저 우드, 숀 애스틴, 앤디 서키스, 이안 맥켈런, 리브 타일러, nan, nan, nan, nan"
51,해리 포터와 마법사의 돌,Harry Potter And The Sorcerers Stone,"영국, 미국",152분,"2021.09.15 재개봉, 2018.10.24 재개봉,  2001.12.14 개봉",9.37,크리스 콜럼버스,전체 관람가,"다니엘 래드클리프, 루퍼트 그린트, 엠마 왓슨, 로비 콜트레인, 리처드 해리스, nan, nan, nan, nan"
52,반지의 제왕: 두 개의 탑,The Lord Of The Rings The Two Towers,"뉴질랜드, 미국",235분,"2021.03.18 재개봉, 2017.01.18 재개봉,  2002.12.19 개봉",9.35,피터 잭슨,12세 관람가,"일라이저 우드, 이안 맥켈런, 비고 모텐슨, 리브 타일러, 숀 애스틴, nan, nan, nan, nan"
53,반지의 제왕: 반지 원정대,The Lord Of The Rings The Fellowship Of The Ring,"뉴질랜드, 미국",228분,"2021.03.11 재개봉, 2017.01.11 재개봉,  2001.12.31 개봉",9.3,피터 잭슨,12세 관람가,"일라이저 우드, 이안 맥켈런, 리브 타일러, 비고 모텐슨, 숀 애스틴, nan, nan, nan, nan"
54,천녀유혼,A Chinese Ghost Story,홍콩,98분,"2019.04.04 재개봉, 2015.03.19 재개봉,  1987.12.25 개봉",9.29,정소동,12세 관람가,"장국영, 왕조현, 우마, None, None, nan, nan, nan, nan"
55,가위손,Edward Scissorhands,미국,100분,"2014.05.22 재개봉,  1991.06.29 개봉",9.25,팀 버튼,15세 관람가,"조니 뎁, 위노나 라이더, 다이앤 위스트, 안소니 마이클 홀, 케시 베이커, nan, nan, nan, nan"
56,조 블랙의 사랑,Meet Joe Black,미국,178분,1998.12.19 개봉,9.1,마틴 브레스트,15세 관람가,"브래드 피트, 안소니 홉킨스, 클레어 폴라니, 제이크 웨버, 마샤 게이 하든, nan, nan, nan, nan"
57,캐리비안의 해적 - 블랙 펄의 저주,Pirates Of The Caribbean The Curse Of The Black Pearl,미국,143분,2003.09.05 개봉,9.06,고어 버빈스키,12세 관람가,"조니 뎁, 제프리 러쉬, 올랜도 블룸, 키이라 나이틀리, 잭 데이븐포트, nan, nan, nan, nan"
58,온워드: 단 하루의 기적,Onward,미국,102분,2020.06.17 개봉,9.03,댄 스캔론,전체 관람가,"톰 홀랜드, 크리스 프랫, 줄리아 루이스 드레이퍼스, 옥타비아 스펜서, 앨리 웡, nan, nan, nan, nan"
59,천녀유혼 3,A Chinese Ghost Story III,홍콩,105분,"2015.04.30 재개봉,  1991.08.03 개봉",8.99,정소동,12세 관람가,"왕조현, 양조위, 장학우, 리지, 유조명, nan, nan, nan, nan"
60,벤자민 버튼의 시간은 거꾸로 간다,The Curious Case Of Benjamin Button,미국,166분,"2017.11.16 재개봉,  2009.02.12 개봉",8.95,데이빗 핀처,12세 관람가,"브래드 피트, 케이트 블란쳇, 줄리아 오몬드, 타라지 P. 헨슨, 폰느 A. 챔버스, nan, nan, nan, nan"
61,천녀유혼 2,A Chinese Ghost Story II The Story Continues,홍콩,103분,"2015.04.09 재개봉,  1990.07.14 개봉",8.93,정소동,12세 관람가,"장국영, 왕조현, 우마, 이가흔, 이자웅, nan, nan, nan, nan"
62,캐리비안의 해적 - 망자의 함,Pirates Of The Caribbean Dead Mans Chest,미국,143분,2006.07.06 개봉,8.91,고어 버빈스키,12세 관람가,"조니 뎁, 올랜도 블룸, 키이라 나이틀리, 빌 나이, 스텔란 스카스가드, nan, nan, nan, nan"
63,해리 포터와 비밀의 방,Harry Potter And The Chamber Of Secrets,"영국, 미국",162분,"2019.02.20 재개봉,  2002.12.13 개봉",8.89,크리스 콜럼버스,전체 관람가,"다니엘 래드클리프, 루퍼트 그린트, 엠마 왓슨, 리처드 해리스, 케네스 브래너, nan, nan, nan, nan"
64,팀 버튼의 크리스마스 악몽,Tim Burtons The Nightmare Before Christmas,미국,75분,"2006.12.07 재개봉,  1995.01.14 개봉",8.87,헨리 셀릭,전체 관람가,"대니 엘프만, 크리스 서랜던, 캐서린 오하라, 윌리엄 히키, 글렌 샤딕스, nan, nan, nan, nan"
65,스타더스트,Stardust,"영국, 미국",128분,2007.08.15 개봉,8.81,매튜 본,12세 관람가,"찰리 콕스, 클레어 데인즈, 미셸 파이퍼, 로버트 드 니로, 시에나 밀러, nan, nan, nan, nan"
66,드라큐라,Bram Stokers Dracula,미국,128분,1993.01.16 개봉,8.79,프란시스 포드 코폴라,15세 관람가,"게리 올드만, 위노나 라이더, 안소니 홉킨스, 키아누 리브스, 리차드 E. 그랜트, nan, nan, nan, nan"
67,찰리와 초콜릿 공장,Charlie And The Chocolate Factory,"미국, 영국",114분,2005.09.16 개봉,8.79,팀 버튼,전체 관람가,"조니 뎁, 프레디 하이모어, 데이빗 켈리, 헬레나 본햄 카터, 노아 테일러, nan, nan, nan, nan"
68,미녀와 야수,Beauty and the Beast,미국,85분,"2012.04.11 재개봉,  1992.07.04 개봉",8.78,빌 콘돈,전체 관람가,"페이지 오하라, 로비 벤슨, 리처드 화이트, 제리 오바치, 데이빗 오그던 스타이어스, nan, nan, nan, nan"
69,해리 포터와 아즈카반의 죄수,Harry Potter And The Prisoner Of Azkaban,"미국, 영국",141분,"2021.05.05 재개봉, 2020.02.26 재개봉,  2004.07.16 개봉",8.76,알폰소 쿠아론,전체 관람가,"다니엘 래드클리프, 엠마 왓슨, 루퍼트 그린트, 로비 콜트레인, 티모시 스폴, nan, nan, nan, nan"
70,스트레인저 댄 픽션,Stranger Than Fiction,미국,112분,2007.09.06 개봉,8.72,마크 포스터,12세 관람가,"윌 페렐, 매기 질렌할, 더스틴 호프만, 퀸 라티파, 엠마 톰슨, nan, nan, nan, nan"
71,"당신, 거기 있어줄래요",Will You Be There,대한민국,111분,2016.12.14 개봉,8.72,홍지영,12세 관람가,"김윤석, 변요한, 채서진, 김상호, 안세하, nan, nan, nan, nan"
72,큐브,Cube,캐나다,90분,1999.10.23 개봉,8.71,빈센조 나탈리,청소년 관람불가,"니콜 드 보아, 니키 과다그니, 데이빗 휴렛, 앤드류 밀러, 줄리안 리칭즈, nan, nan, nan, nan"
